,Current Price,Original Price,Discount Percentage,Number OF Ratings,Battery Life (Days),Display Size,rating_placeholder_flag,reviews_placeholder_flag,price_logic_flag,Brand_ambrane,Brand_apple,Brand_boat,Brand_crossbeats,Brand_dizo,Brand_fire-boltt,Brand_fitbit,Brand_fossil,Brand_garmin,Brand_gizmore,Brand_hammer,Brand_honor,Brand_huawei,Brand_noise,Brand_pebble,Brand_samsung,Brand_zebronics,Dial Shape_Contemporary,Dial Shape_Curved,Dial Shape_Missing,Dial Shape_Oval,Dial Shape_Rectangle,Dial Shape_Square,Strap Color_Beige,Strap Color_Black,Strap Color_Blue,Strap Color_Brown,Strap Color_Burgundy,Strap Color_Charcoal,Strap Color_Deep Wine,Strap Color_Gold,Strap Color_Graphite,Strap Color_Green,Strap Color_Grey,Strap Color_Maroon,Strap Color_Midnight,Strap Color_Missing,Strap Color_Misty Rose,Strap Color_Morning Glow,Strap Color_Multicolor,Strap Color_Orange,Strap Color_Orange Alpine,Strap Color_Passion Pink,Strap Color_Pink,"Strap Color_Pink, Gold",Strap Color_Purple,Strap Color_Red,Strap Color_Rose Gold,Strap Color_Silver,Strap Color_Starlight Sport,Strap Color_White,Strap Material_Carbon-Fiber;,Strap Material_Fabric,Strap Material_Fluoroelastomer,Strap Material_Leather,Strap Material_Missing,Strap Material_Nylon,Strap Material_Other,Strap Material_Plastic,Strap Material_Rubber,Strap Material_Silicon,Strap Material_Stainless Steel,Strap Material_Synthetic,Strap Material_Thermo Plastic Polyurethene,Weight_35 - 50 g,Weight_50 - 75 g,Weight_75g +,Weight_<= 20 g
18,-0.639624212813165,-0.5539432001285505,0.43323151934087256,-0.012946379236065482,-0.017967152872223353,0.8084920821015514,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
168,-0.6223559638234518,-0.4819404971462103,0.4357688426661655,0.17732941457197574,1.0208001911099538,0.6016132257990953,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,-0.5360147188748862,-0.4086299751389639,0.3500705367909026,-0.22679683031512274,-0.8148003394363605,0.1878555131941835,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
408,-0.5561610093628848,-0.26331675014937733,0.4263583935762578,-0.2383712103992985,1.0208001911099538,-2.7084484750401994,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
355,-0.4842099719057467,-0.4449582813863605,0.261058649958508,-0.23994953495623156,-0.8148003394363605,-0.22590219941072825,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,-0.5245025528817441,-0.4086299751389639,0.3353979467430314,-0.24027522097591617,-0.017967152872223353,0.1878555131941835,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
110,1.4268671437858058,-0.4086299751389639,-2.15167942973425,-0.23882216027270795,1.0208001911099538,0.6016132257990953,False,False,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
277,-0.1220947905914623,0.6079086902756888,0.3354946964390256,-0.23812068269184883,-0.8148003394363605,0.8084920821015514,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
349,-0.512990386888602,-0.29964505639677397,0.3693701132182833,-0.04433750097951191,1.0208001911099538,-2.7084484750401994,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,-0.6568924618028781,-0.4819404971462103,0.48614053696444515,0.34823941659415575,-0.8148003394363605,0.6016132257990953,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
